epoch,train_loss,train_acc,val_loss,val_acc
1,2.2939574609483993,0.1,2.278023262023926,0.155
2,2.2676995590754916,0.1742857142857143,2.2465689468383787,0.295
3,2.2243190588269917,0.2957142857142857,2.1859059143066406,0.3
4,2.149745167323521,0.3157142857142857,2.0713246059417725,0.345
5,2.0137935638427735,0.3242857142857143,1.9171235418319703,0.335
6,1.877996928351266,0.3357142857142857,1.8040926837921143,0.365
7,1.7795027106148855,0.37,1.7198838520050048,0.365
8,1.6885398728506906,0.3871428571428571,1.6473870468139649,0.385
9,1.5976727185930524,0.4228571428571429,1.5547143363952636,0.415
10,1.4892359386171614,0.47285714285714286,1.4658356189727784,0.46
11,1.3997094433648245,0.49714285714285716,1.3735382652282715,0.495
12,1.2800987536566597,0.5342857142857143,1.3034705448150634,0.54
13,1.2011891092572893,0.5585714285714286,1.2177962112426757,0.565
14,1.0986607142857143,0.6042857142857143,1.1571443510055541,0.61
15,1.0317991062573024,0.6514285714285715,1.1032408857345581,0.66
16,0.958302412714277,0.6757142857142857,1.069701452255249,0.675
17,0.9094754164559501,0.6971428571428572,1.0325181198120117,0.655
18,0.8423599570138114,0.72,0.9774635696411133,0.685
19,0.7991750567299979,0.74,0.9567475032806396,0.69
20,0.7327445656912668,0.7342857142857143,0.9515021991729736,0.68
21,0.6907752864701407,0.7742857142857142,0.9220639085769653,0.715
22,0.6581598484516143,0.7728571428571429,0.9100713443756103,0.69
23,0.6089245302336557,0.8085714285714286,0.8919869089126586,0.705
24,0.5610593884331839,0.8357142857142857,0.8954411005973816,0.715
25,0.5270524317877633,0.8485714285714285,0.8847465896606446,0.71
26,0.48129696403230937,0.8485714285714285,0.8804573392868043,0.72
27,0.4465858650207519,0.8642857142857143,0.880753047466278,0.72
28,0.44762701204844885,0.87,0.877276086807251,0.72
29,0.39906223569597515,0.8957142857142857,0.8644129037857056,0.725
30,0.36358245304652625,0.89,0.8495322132110595,0.74
31,0.33673638003213063,0.9071428571428571,0.8591097593307495,0.74
32,0.31654116903032575,0.9128571428571428,0.8690310430526733,0.75
33,0.29245554889951436,0.9257142857142857,0.8754083824157715,0.745
34,0.2834145425898688,0.9185714285714286,0.8959142017364502,0.745
35,0.2501038781234196,0.94,0.9040365314483643,0.715
36,0.2480437268955367,0.9371428571428572,0.9182410931587219,0.735
37,0.23722674693380083,0.9485714285714286,0.9401951026916504,0.72
38,0.2145697956425803,0.9457142857142857,0.9349967908859252,0.71
39,0.20533036789723805,0.95,0.9476360177993775,0.725
40,0.18571967337812695,0.9514285714285714,0.9356256246566772,0.72
41,0.17588867281164441,0.9571428571428572,0.9627264928817749,0.74
42,0.16240817861897605,0.9657142857142857,0.9834571409225464,0.73
43,0.16254715612956455,0.9557142857142857,1.0114006519317627,0.725
44,0.14865305696214948,0.9685714285714285,0.9504338026046752,0.735
45,0.12998375666993006,0.9771428571428571,0.9741932821273803,0.74
46,0.1278217601776123,0.97,1.0725410890579223,0.695
47,0.1123447351370539,0.9757142857142858,1.0210412693023683,0.74
48,0.10402248884950366,0.9857142857142858,0.9876051759719848,0.75
49,0.08736116807375635,0.9842857142857143,1.0149649620056151,0.735
50,0.08593298822641372,0.9828571428571429,1.0280862426757813,0.755
51,0.0849020665032523,0.9885714285714285,1.0583029508590698,0.76
52,0.08193080088921956,0.99,1.10990234375,0.73
53,0.08474242729800088,0.9857142857142858,1.0698899841308593,0.745
54,0.07377634403961045,0.9842857142857143,1.1522298526763917,0.71
55,0.0708225416285651,0.9928571428571429,1.1212651872634887,0.725
56,0.07315627560019493,0.9871428571428571,1.104194107055664,0.755
57,0.05523049068238054,0.9928571428571429,1.1423845624923705,0.75
58,0.05503912925720215,0.9942857142857143,1.1068388175964357,0.75
59,0.05449871316552162,0.9928571428571429,1.172168641090393,0.745
60,0.04318514374750001,0.9928571428571429,1.1515363025665284,0.75
61,0.04813441171177796,0.9885714285714285,1.1945230054855347,0.74
62,0.05025354193789618,0.99,1.1761144733428954,0.72
63,0.049215846870626724,0.99,1.1897764253616332,0.745
64,0.04941493417003325,0.99,1.2710532999038697,0.725
65,0.05245012970907348,0.99,1.2646833753585816,0.73
66,0.04648796113474028,0.9885714285714285,1.1758626747131347,0.765
67,0.03669831859213965,0.9942857142857143,1.2613424634933472,0.73
68,0.045020731267120154,0.99,1.2474816465377807,0.735
69,0.030519467943481038,0.9985714285714286,1.2859191274642945,0.735
70,0.03591708248747247,0.9914285714285714,1.2949563264846802,0.725
71,0.02902701090489115,0.9985714285714286,1.3698988199234008,0.715
72,0.028646438712520258,1.0,1.3216140651702881,0.73
73,0.034466247952410156,0.9914285714285714,1.3058884048461914,0.72
74,0.03979837546391147,0.9928571428571429,1.2936692142486572,0.735
75,0.028169621931655068,0.9957142857142857,1.3967651557922363,0.72
76,0.026757250896521978,0.9957142857142857,1.3048675489425658,0.73
77,0.02900978091039828,0.9942857142857143,1.301088924407959,0.74
78,0.020545527296406883,0.9985714285714286,1.3285179185867309,0.72
79,0.021040558027369635,0.9971428571428571,1.3239268016815187,0.735
80,0.020633525475859643,0.9971428571428571,1.2954815578460694,0.75
