epoch,train_loss,train_acc,val_loss,val_acc
1,2.292144307080598,0.16165951359084407,2.0174344568396334,0.22110552763819097
2,1.8912678208303384,0.30472103004291845,1.780424957898394,0.32663316582914576
3,1.7592520515976717,0.3676680972818312,1.8290486096137732,0.2964824120603015
4,1.631051943196418,0.39628040057224606,1.8061701628431004,0.37185929648241206
5,1.6286422930050306,0.4220314735336195,1.6807986264252783,0.38190954773869346
6,1.5850085362855968,0.4291845493562232,1.6223252322805586,0.4271356783919598
7,1.4929053991478742,0.42775393419170243,1.774907457169576,0.36683417085427134
8,1.430516018717415,0.4721030042918455,1.591781434102274,0.47738693467336685
9,1.3957462452341387,0.47353361945636624,2.0453022460841654,0.3165829145728643
10,1.3591761176337158,0.5078683834048641,2.1856005227745476,0.27638190954773867
11,1.2743242706181495,0.525035765379113,1.4830461105509618,0.5025125628140703
12,1.30953105955847,0.5178826895565093,1.64049804989417,0.46733668341708545
13,1.2752883742125078,0.5622317596566524,1.7512537091221643,0.37185929648241206
14,1.2420489191156259,0.5679542203147353,2.046187272622957,0.3417085427135678
15,1.2608089300354834,0.547925608011445,1.8395476904346715,0.38190954773869346
16,1.136447511005811,0.5879828326180258,1.8144740782790447,0.4321608040201005
17,1.1110099610340953,0.6008583690987125,1.3205848399119162,0.5728643216080402
18,1.117667452204381,0.6022889842632332,1.6389190779259457,0.4723618090452261
19,1.1520672028668448,0.5894134477825465,1.483359393162943,0.5226130653266332
20,1.0690237942001168,0.6180257510729614,1.989969091798792,0.37185929648241206
21,1.1013511576195472,0.6080114449213162,1.9296538470378473,0.4321608040201005
22,1.0343371588784738,0.6337625178826896,1.5502031514393024,0.507537688442211
23,1.0473410278260282,0.6323319027181689,1.706663818215605,0.4824120603015075
24,1.0636461524663223,0.6165951359084406,1.6901981590980262,0.4623115577889447
25,1.0137021454618724,0.6337625178826896,1.6404465275194178,0.4723618090452261
26,0.9986214388764126,0.6595135908440629,1.2869206415348915,0.5879396984924623
27,0.9466924352707269,0.6437768240343348,1.3656976067241113,0.5879396984924623
28,0.939009857024246,0.6566523605150214,1.7163392515038725,0.39195979899497485
29,0.9680155218926623,0.648068669527897,1.2179873678552446,0.6130653266331658
30,0.9001324222834837,0.6580829756795422,1.2189504603045669,0.6080402010050251
31,0.9186377036724991,0.6723891273247496,1.7060937689776396,0.5326633165829145
32,0.863432648696954,0.6824034334763949,1.3773630486061825,0.592964824120603
33,0.9463047670874644,0.6494992846924177,1.4645363409914562,0.5678391959798995
34,0.8431353580116032,0.6838340486409156,1.3405380638400515,0.5477386934673367
35,0.7978995527661751,0.698140200286123,1.5787076590648248,0.5728643216080402
36,0.8541523297457224,0.6866952789699571,1.266390992169404,0.6030150753768844
37,0.7844866605446232,0.7253218884120172,1.337406187201265,0.5778894472361809
38,0.8379147381059431,0.6938483547925608,1.4156246760382725,0.6080402010050251
39,0.8375154768619073,0.7081545064377682,2.064709982081274,0.46733668341708545
40,0.7394494202856683,0.7353361945636624,1.3140791876232205,0.6231155778894473
41,0.7488340180319266,0.7367668097281831,1.5211628142313742,0.5829145728643216
42,0.6955840697615955,0.7396280400572246,1.5084880201061766,0.5376884422110553
43,0.6827154101561409,0.765379113018598,1.7148892292425262,0.5527638190954773
44,0.7358531636826812,0.7381974248927039,1.266994058786325,0.6130653266331658
45,0.7347741065618818,0.7238912732474965,1.524919470350946,0.5829145728643216
46,0.7384533367955122,0.7396280400572246,1.2853138686424523,0.6231155778894473
47,0.6194768722817963,0.7725321888412017,1.659320377225253,0.5527638190954773
48,0.6564911063307515,0.7610872675250357,1.2746666639893498,0.6884422110552764
49,0.6151042632620052,0.7796852646638054,1.3836325341133615,0.6030150753768844
50,0.5694170262510002,0.7939914163090128,1.4406264630993406,0.6432160804020101
